Strategy,Model,Accuracy,Accuracy_std,F1,F1_std,AUC,AUC_std,MCC,MCC_std
A: Mean/Mode,Random Forest,0.9949999999999999,0.010000000000000009,0.995998399359744,0.00800520183079481,0.9994666666666667,0.0015999999999999903,0.9896014231481857,0.020799352073454676
A: Mean/Mode,XGBoost,0.99,0.016583123951777013,0.9919117647058824,0.01360459714350776,0.9986666666666666,0.003211091887677924,0.9795641725617781,0.03343175001064158
A: Mean/Mode,Logistic Reg.,0.9925,0.01600781059358214,0.9937925170068027,0.013293892537049353,1.0,0.0,0.984966315680561,0.03190340989450445
A: Mean/Mode,Grad. Boosting,0.9875,0.020155644370746392,0.990026395173454,0.016140448048532256,0.9997333333333334,0.0007999999999999785,0.9744117208664054,0.04109467301539562
B: KNN (k=5),Random Forest,0.9924999999999999,0.01145643923738961,0.9941176470588236,0.008985442539129118,0.9994666666666667,0.00106666666666666,0.9841992800294026,0.024135998433354434
B: KNN (k=5),XGBoost,0.9799999999999999,0.03122498999199199,0.9839117647058824,0.025133111600660524,0.9984,0.003414999593297499,0.9582308392284447,0.06589198184460607
B: KNN (k=5),Logistic Reg.,0.9925,0.01600781059358214,0.9937925170068027,0.013293892537049353,0.9997333333333334,0.0007999999999999785,0.984966315680561,0.03190340989450445
B: KNN (k=5),Grad. Boosting,0.9775,0.023584952830141507,0.9819543817527011,0.018627229382379533,0.9986666666666666,0.00273252020425589,0.9527131066574578,0.05044909563580374
C: MICE,Random Forest,0.985,0.012247448713915901,0.9882352941176471,0.009605842128561503,0.9987999999999999,0.003600000000000003,0.968398560058805,0.02580246766437854
C: MICE,XGBoost,0.9824999999999999,0.02249999999999999,0.9862745098039216,0.01764705882352942,0.9981333333333333,0.004777726097911715,0.9628388274764557,0.04815269131682642
C: MICE,Logistic Reg.,,,,,,,,
C: MICE,Grad. Boosting,,,,,,,,
D: Miss. Indicator,Random Forest,0.9974999999999999,0.0075000000000000075,0.9980392156862745,0.005882352941176483,1.0,0.0,0.9947330933431342,0.015800719970597465
D: Miss. Indicator,XGBoost,0.99,0.016583123951777013,0.9919117647058824,0.01360459714350776,1.0,0.0,0.9795641725617781,0.03343175001064158
D: Miss. Indicator,Logistic Reg.,0.9974999999999999,0.0075000000000000075,0.9979591836734695,0.006122448979591843,1.0,0.0,0.9948683298050515,0.015395010584845836
D: Miss. Indicator,Grad. Boosting,0.9875,0.020155644370746392,0.990026395173454,0.016140448048532256,1.0,0.0,0.9744117208664054,0.04109467301539562
