,Logistic Reg.,Decision Tree,KNN,Naive Bayes,SVM,Random Forest,Grad. Boosting,XGBoost,CatBoost
age,0.2876217668304068,0.0,0.005854839530022321,0.006328410411624709,0.00391237768772432,0.0009429700537091487,0.4325634197927048,0.007474459,0.01299599964836923
bp,0.4072983054684994,0.0,0.00891042686445286,0.004662607059873133,0.005609606505595268,0.020525260937351922,0.7830788946270055,0.05028754,0.05520811266077106
sg,1.8065920375322935,0.07838663400596245,0.05990782111986972,0.006754626619221072,0.07496058001999127,0.06155571729311813,6.0095632814692745,0.8760792,1.2478807427006733
al,0.6548094664298625,0.5392844029341156,0.03437881945220549,0.04038772310836954,0.01635969279250259,0.15176985476969165,5.384114664025689,1.5305196,1.1202545961048496
su,0.2494441830158128,0.022083333333333406,0.018169637075881834,0.03363047108607983,0.008874224675568082,0.007725566687329364,0.07616022355071408,0.020931926,0.11411683240055365
rbc,0.9780649617659756,0.03510927301483388,0.031441115142395365,0.02798953188746359,0.021381231077103654,0.026436919392950918,3.7220366312325877,0.83164924,0.789002367587408
pc,0.09412955671563722,0.018281195724258365,0.008116388591169546,0.01789540613429705,0.0031934622654342447,0.0029339919557812345,0.0,0.0022331525,0.15182171666108743
pcc,0.19458770425668598,0.0,0.008361805933078182,0.017888493332373773,0.00784295303212721,5.24318729564287e-05,0.0,0.0,0.004000793542946905
ba,0.09584612778126583,0.0,0.007997345835762977,0.011547631581118871,0.006413740550306949,0.0,0.0,0.0,0.0
bgr,0.4247160221305124,0.0,0.012630256916476536,0.014639826657862738,0.013599855351021404,0.04507479748308968,2.5886154547843954,0.60551506,0.2118124012658009
bu,0.12657907759074902,0.0,0.007997425279964361,0.008858193709597796,0.008762680110685327,0.010569208005985344,1.0798153646973472,0.26959726,0.04288656666989597
sc,0.4267762666723819,0.059722222222222454,0.010139950337426182,0.02776834267499895,0.009062411325949996,0.08755350788194471,5.956796180424901,1.9267509,1.3431658365472443
sod,0.23091523144202625,0.09838750000000013,0.005796795226350939,0.009704464095088223,0.004805893545024769,0.019971680725472472,1.2725013501268783,0.2774442,0.39569678711532347
pot,0.06128606818116726,0.0,0.004465654787574779,0.008496784269409384,0.005437024028048325,0.0037871443240880824,0.6708672012157129,0.51932204,0.038654966985436634
hemo,1.5377316474847982,0.06661349471713246,0.029185636348888787,0.007476815085709347,0.05774283855452584,0.0855381092622063,13.899641485680057,1.93677,2.1499303960361114
pcv,0.7456610366344196,0.0,0.020115875257973773,0.010849889759278399,0.01747729953206003,0.04415093022483891,3.996526927203722,0.7004259,1.10598763547636
wc,0.01294264761404059,0.0,0.006148113305006892,0.007327487174007523,0.003966425108775815,0.007554581239275151,1.4780555032821425,0.1642727,0.18322488332871883
rc,0.28988118226271536,0.0,0.005279457365594454,0.006005148499532491,0.010169588056483957,0.03942200172229573,3.6877504666703094,0.5020961,0.6960439510874972
htn,0.7711912708104061,0.0,0.03773153900112434,0.07523352668023771,0.021510084098207535,0.03546407840595919,0.5306404826204332,0.23746851,0.32989721733451505
dm,1.0822658008172465,0.0,0.04227034964805548,0.07472531431003467,0.03226525165414003,0.026816530392979678,1.475279330221853,0.14579941,0.48966470894098374
cad,0.005150746074925474,0.0,0.0056793372653313615,0.01951436203375098,0.007283465405850981,0.0,0.0,0.0,0.0037376422931823454
appet,0.8476706951569514,0.0,0.024817714233139453,0.04129231586124955,0.032101858001978234,0.0072218631607959384,0.0,0.0395065,0.17366756478414072
pe,0.8364295428481846,0.0,0.01788020855256643,0.036931664575490505,0.02176368492728234,0.005593348151539015,0.8698361748731622,0.005086487,0.11850389064905997
ane,0.17365960888807067,0.0,0.009379187851449665,0.03199501688831902,0.005651748925319986,0.0006754651582375566,0.6910242521177655,0.0,0.004381399199727511
