Strategy,Model,Accuracy,F1,AUC,MCC
A: Mean/Mode,Grad. Boosting,0.9875 ± 0.0202,0.9900 ± 0.0161,0.9997 ± 0.0008,0.9744 ± 0.0411
A: Mean/Mode,Logistic Reg.,0.9925 ± 0.0160,0.9938 ± 0.0133,1.0000 ± 0.0000,0.9850 ± 0.0319
A: Mean/Mode,Random Forest,0.9950 ± 0.0100,0.9960 ± 0.0080,0.9995 ± 0.0016,0.9896 ± 0.0208
A: Mean/Mode,XGBoost,0.9900 ± 0.0166,0.9919 ± 0.0136,0.9987 ± 0.0032,0.9796 ± 0.0334
B: KNN (k=5),Grad. Boosting,0.9775 ± 0.0236,0.9820 ± 0.0186,0.9987 ± 0.0027,0.9527 ± 0.0504
B: KNN (k=5),Logistic Reg.,0.9925 ± 0.0160,0.9938 ± 0.0133,0.9997 ± 0.0008,0.9850 ± 0.0319
B: KNN (k=5),Random Forest,0.9925 ± 0.0115,0.9941 ± 0.0090,0.9995 ± 0.0011,0.9842 ± 0.0241
B: KNN (k=5),XGBoost,0.9800 ± 0.0312,0.9839 ± 0.0251,0.9984 ± 0.0034,0.9582 ± 0.0659
C: MICE,Grad. Boosting,N/A (convergence),N/A (convergence),N/A (convergence),N/A (convergence)
C: MICE,Logistic Reg.,N/A (convergence),N/A (convergence),N/A (convergence),N/A (convergence)
C: MICE,Random Forest,0.9850 ± 0.0122,0.9882 ± 0.0096,0.9988 ± 0.0036,0.9684 ± 0.0258
C: MICE,XGBoost,0.9825 ± 0.0225,0.9863 ± 0.0176,0.9981 ± 0.0048,0.9628 ± 0.0482
D: Miss. Indicator,Grad. Boosting,0.9875 ± 0.0202,0.9900 ± 0.0161,1.0000 ± 0.0000,0.9744 ± 0.0411
D: Miss. Indicator,Logistic Reg.,0.9975 ± 0.0075,0.9980 ± 0.0061,1.0000 ± 0.0000,0.9949 ± 0.0154
D: Miss. Indicator,Random Forest,0.9975 ± 0.0075,0.9980 ± 0.0059,1.0000 ± 0.0000,0.9947 ± 0.0158
D: Miss. Indicator,XGBoost,0.9900 ± 0.0166,0.9919 ± 0.0136,1.0000 ± 0.0000,0.9796 ± 0.0334
