Stage,Model,N,CKD_n,Accuracy,Recall,Precision,F1,AUC
G1,Random Forest,125,27,0.984,1.0,0.9310344827586207,0.9642857142857143,1.0
G1,XGBoost,125,27,1.0,1.0,1.0,1.0,1.0
G1,CatBoost,125,27,1.0,1.0,1.0,1.0,1.0
G1,Grad. Boosting,125,27,1.0,1.0,1.0,1.0,1.0
G2,Random Forest,79,31,1.0,1.0,1.0,1.0,1.0
G2,XGBoost,79,31,1.0,1.0,1.0,1.0,1.0
G2,CatBoost,79,31,1.0,1.0,1.0,1.0,1.0
G2,Grad. Boosting,79,31,1.0,1.0,1.0,1.0,1.0
G3b,Random Forest,41,39,1.0,1.0,1.0,1.0,1.0
G3b,XGBoost,41,39,1.0,1.0,1.0,1.0,1.0
G3b,CatBoost,41,39,1.0,1.0,1.0,1.0,1.0
G3b,Grad. Boosting,41,39,1.0,1.0,1.0,1.0,1.0
G4,Random Forest,56,54,1.0,1.0,1.0,1.0,1.0
G4,XGBoost,56,54,1.0,1.0,1.0,1.0,1.0
G4,CatBoost,56,54,1.0,1.0,1.0,1.0,1.0
G4,Grad. Boosting,56,54,1.0,1.0,1.0,1.0,1.0
