Model,Metric,Default,Tuned,Delta
Random Forest,Accuracy,0.9933333333333335,0.9925000000000002,-0.0008333333333333526
Random Forest,Precision,0.9897435897435897,0.9884615384615384,-0.0012820512820512775
Random Forest,Recall,1.0,1.0,0.0
Random Forest,Specificity,0.9822222222222223,0.9800000000000001,-0.0022222222222222365
Random Forest,F1,0.9947712418300654,0.9941176470588236,-0.0006535947712418277
Random Forest,AUC,0.9992444444444445,0.999288888888889,4.4444444444513564e-05
Random Forest,MCC,0.9859549155816912,0.9841992800294026,-0.0017556355522886369
Random Forest,Kappa,0.9855855855855857,0.9837837837837838,-0.0018018018018018944
XGBoost,Accuracy,0.9850000000000001,0.9883333333333335,0.0033333333333334103
XGBoost,Precision,0.9909230769230769,0.9909743589743589,5.1282051282020014e-05
XGBoost,Recall,0.9853333333333334,0.9906666666666667,0.005333333333333301
XGBoost,Specificity,0.9844444444444445,0.9844444444444445,0.0
XGBoost,F1,0.9878862211551288,0.9906351207149526,0.0027488995598238253
XGBoost,AUC,0.9988444444444445,0.9991111111111112,0.0002666666666666373
XGBoost,MCC,0.9689565847195379,0.9757677328292846,0.006811148109746701
XGBoost,Kappa,0.9681815431289116,0.9751528863107809,0.006971343181869316
CatBoost,Accuracy,0.9908333333333333,0.9891666666666669,-0.0016666666666664831
CatBoost,Precision,0.9884615384615384,0.9896410256410256,0.0011794871794872375
CatBoost,Recall,0.9973333333333334,0.9933333333333335,-0.0039999999999998925
CatBoost,Specificity,0.9800000000000001,0.9822222222222223,0.0022222222222222365
CatBoost,F1,0.9927571028411365,0.9913709483793518,-0.0013861544617846944
CatBoost,AUC,0.9990222222222224,0.998488888888889,-0.0005333333333333856
CatBoost,MCC,0.9807781665661035,0.9772234053802087,-0.003554761185894817
CatBoost,Kappa,0.9802750118539593,0.9768149201833414,-0.003460091670617893
Grad. Boosting,Accuracy,0.9858333333333333,0.9908333333333335,0.0050000000000001155
Grad. Boosting,Precision,0.9894358974358975,0.9909230769230768,0.0014871794871792465
Grad. Boosting,Recall,0.988,0.9946666666666667,0.00666666666666671
Grad. Boosting,Specificity,0.9822222222222223,0.9844444444444445,0.0022222222222221255
Grad. Boosting,F1,0.9886519941309858,0.9927048152594371,0.004052821128451289
Grad. Boosting,AUC,0.9985777777777778,0.9995555555555556,0.0009777777777778551
Grad. Boosting,MCC,0.970023725367141,0.9806895976641469,0.010665872297005885
Grad. Boosting,Kappa,0.9697999051683261,0.9803711079500554,0.010571202781729294
SVM,Accuracy,0.9841666666666669,0.9858333333333335,0.0016666666666665941
SVM,Precision,0.992153846153846,0.9895384615384615,-0.002615384615384575
SVM,Recall,0.9826666666666668,0.988,0.00533333333333319
SVM,Specificity,0.9866666666666667,0.9822222222222223,-0.004444444444444362
SVM,F1,0.9871798052554356,0.9886509270374817,0.0014711217820461142
SVM,AUC,0.999288888888889,0.9994666666666667,0.0001777777777777212
SVM,MCC,0.9672017435369101,0.9702024519103758,0.003000708373465666
SVM,Kappa,0.9664752052120473,0.9697986407460093,0.0033234355339619714
