iter	Passed	Remaining
0	105	105319
1	108	54339
2	112	37248
3	115	28685
4	118	23627
5	122	20252
6	125	17754
7	128	15992
8	130	14376
9	133	13239
10	137	12372
11	140	11586
12	143	10913
13	146	10351
14	150	9854
15	153	9439
16	166	9626
17	170	9319
18	174	8995
19	177	8720
20	179	8353
21	182	8106
22	185	7881
23	188	7665
24	191	7465
25	194	7291
26	197	7117
27	199	6934
28	202	6775
29	204	6621
30	207	6479
31	210	6358
32	212	6229
33	215	6111
34	217	6000
35	220	5892
36	222	5788
37	225	5708
38	228	5618
39	230	5528
40	233	5451
41	236	5398
42	239	5340
43	243	5294
44	246	5232
45	250	5191
46	253	5144
47	256	5088
48	259	5031
49	261	4977
50	264	4919
51	267	4867
52	269	4811
53	271	4759
54	274	4711
55	276	4660
56	278	4613
57	281	4573
58	283	4528
59	286	4485
60	288	4443
61	291	4408
62	293	4368
63	296	4329
64	298	4294
65	301	4269
66	304	4243
67	307	4211
68	309	4180
69	312	4147
70	314	4116
71	316	4084
72	319	4058
73	323	4043
74	325	4017
75	328	3991
76	330	3966
77	333	3939
78	335	3912
79	338	3891
80	340	3865
81	343	3840
82	345	3818
83	348	3798
84	351	3778
85	353	3760
86	356	3736
87	358	3716
88	361	3697
89	363	3675
90	365	3655
91	368	3636
92	370	3616
93	373	3596
94	375	3575
95	378	3560
96	380	3540
97	382	3522
98	385	3505
99	387	3488
100	389	3469
101	392	3453
102	394	3437
103	409	3526
104	411	3510
105	414	3494
106	416	3478
107	419	3463
108	421	3449
109	424	3435
110	427	3422
111	429	3405
112	431	3389
113	434	3377
114	436	3362
115	439	3348
116	441	3335
117	444	3322
118	447	3310
119	449	3298
120	452	3284
121	455	3274
122	457	3261
123	459	3248
124	462	3235
125	464	3224
126	467	3211
127	469	3197
128	471	3184
129	474	3175
130	476	3157
131	478	3145
132	480	3133
133	483	3123
134	485	3111
135	487	3099
136	490	3089
137	493	3080
138	495	3069
139	498	3060
140	500	3048
141	502	3038
142	505	3030
143	507	3018
144	510	3008
145	513	3000
146	515	2990
147	518	2982
148	520	2972
149	523	2965
150	525	2956
151	528	2946
152	530	2938
153	533	2929
154	535	2919
155	538	2911
156	540	2901
157	542	2893
158	545	2885
159	547	2876
160	550	2867
161	552	2859
162	555	2851
163	557	2842
164	560	2834
165	562	2827
166	564	2818
167	567	2808
168	569	2802
169	572	2794
170	574	2785
171	577	2778
172	579	2771
173	581	2762
174	584	2754
175	586	2747
176	589	2740
177	591	2732
178	594	2725
179	596	2717
180	598	2709
181	601	2703
182	603	2695
183	606	2687
184	608	2680
185	610	2673
186	613	2665
187	615	2657
188	617	2651
189	620	2644
190	622	2638
191	625	2633
192	628	2626
193	630	2619
194	633	2614
195	635	2607
196	638	2601
197	643	2606
198	655	2637
199	657	2631
200	660	2624
201	662	2617
202	665	2611
203	667	2604
204	669	2597
205	672	2591
206	675	2587
207	678	2582
208	681	2578
209	683	2571
210	685	2564
211	688	2558
212	691	2553
213	694	2549
214	696	2544
215	699	2538
216	702	2533
217	705	2529
218	707	2523
219	710	2518
220	712	2512
221	715	2508
222	718	2503
223	721	2498
224	723	2492
225	726	2486
226	728	2481
227	731	2475
228	733	2469
229	736	2464
230	739	2460
231	741	2455
232	743	2449
233	746	2443
234	748	2437
235	751	2432
236	754	2427
237	756	2422
238	759	2418
239	762	2414
240	764	2408
241	767	2402
